Pt_ID	Latitude	Longtitude	Height
1	-1.221730476396	0.523598775598	-0.000000000001
2	-0.872664625997	0.523598775598	0.000000000000
3	-0.523598775598	0.523598775598	0.000000000000
4	-0.174532925199	0.523598775598	0.000000000000
5	0.174532925199	0.523598775598	0.000000000000
6	0.523598775598	0.523598775598	0.000000000000
7	0.872664625997	0.523598775598	0.000000000000
8	1.221730476396	0.523598775598	-0.000000000001
9	-1.221730476396	1.570796326795	-0.000000000001
10	-0.872664625997	1.570796326795	0.000000000000
11	-0.523598775598	1.570796326795	0.000000000000
12	-0.174532925199	1.570796326795	0.000000000000
13	0.174532925199	1.570796326795	0.000000000000
14	0.523598775598	1.570796326795	0.000000000000
15	0.872664625997	1.570796326795	0.000000000000
16	1.221730476396	1.570796326795	-0.000000000001
17	-1.221730476396	2.617993877991	-0.000000000001
18	-0.872664625997	2.617993877991	0.000000000000
19	-0.523598775598	2.617993877991	0.000000000000
20	-0.174532925199	2.617993877991	0.000000000000
21	0.174532925199	2.617993877991	0.000000000000
22	0.523598775598	2.617993877991	0.000000000000
23	0.872664625997	2.617993877991	0.000000000000
24	1.221730476396	2.617993877991	-0.000000000001
25	-1.221730476396	-2.617993877991	-0.000000000001
26	-0.872664625997	-2.617993877991	0.000000000000
27	-0.523598775598	-2.617993877991	0.000000000000
28	-0.174532925199	-2.617993877991	0.000000000000
29	0.174532925199	-2.617993877991	0.000000000000
30	0.523598775598	-2.617993877991	0.000000000000
31	0.872664625997	-2.617993877991	0.000000000000
32	1.221730476396	-2.617993877991	-0.000000000001
33	-1.221730476396	-1.570796326795	-0.000000000001
34	-0.872664625997	-1.570796326795	0.000000000000
35	-0.523598775598	-1.570796326795	0.000000000000
36	-0.174532925199	-1.570796326795	0.000000000000
37	0.174532925199	-1.570796326795	0.000000000000
38	0.523598775598	-1.570796326795	0.000000000000
39	0.872664625997	-1.570796326795	0.000000000000
40	1.221730476396	-1.570796326795	-0.000000000001
41	-1.221730476396	-0.523598775598	-0.000000000001
42	-0.872664625997	-0.523598775598	0.000000000000
43	-0.523598775598	-0.523598775598	0.000000000000
44	-0.174532925199	-0.523598775598	0.000000000000
45	0.174532925199	-0.523598775598	0.000000000000
46	0.523598775598	-0.523598775598	0.000000000000
47	0.872664625997	-0.523598775598	0.000000000000
48	1.221730476396	-0.523598775598	-0.000000000001
49	1.570796326795	0.000000000000	0.000000000000
50	-1.570796326795	0.000000000000	0.000000000000
